,Player,GlobalMake,made,att,dewmade,dewatt,ContestMakeActual,dewContestMakeActual,ProjectedMake,DewProjectedMake
0,Bradley Beal,0.3473805576810202,15,25,0.0,0.0,0.6,0.0,0.5638091628562487,0.3136697699589914
1,Buddy Hield,0.39331089304423494,91,125,0.0,8.0,0.728,0.0,0.6236084672383476,0.3484744050987994
2,C.J. McCollum,0.40847694939219703,24,50,0.0,0.0,0.48,0.0,0.6426458403615173,0.3603551423349959
3,Damian Lillard,0.3536822675718638,45,75,3.0,4.0,0.6,0.75,0.5721668069439518,0.31833349353285056
4,Danny Green,0.24192218075993824,16,25,0.0,0.0,0.64,0.0,0.4222913364705871,0.24156666185327616
5,Davis Bertans,0.39059293160453923,29,50,2.0,4.0,0.58,0.5,0.6201540225734256,0.3463644827748705
6,Desmond Bane,0.4045455480791375,12,25,1.0,2.0,0.48,0.5,0.6377511918068699,0.35725821665239677
7,Devin Booker,0.37973386038836826,108,175,3.0,4.0,0.6171428571428571,0.75,0.6062336951905766,0.3379954735820682
8,Devonte' Graham,0.3507297024230845,10,25,1.0,2.0,0.4,0.5,0.5682557923867219,0.31614377078292893
9,Donovan Mitchell,0.3619340465366608,17,25,0.0,2.0,0.68,0.0,0.5830480597146744,0.3244958054100375
10,Duncan Robinson,0.3883796925377204,12,25,1.0,2.0,0.48,0.5,0.6173320258875595,0.34465081815682386
11,Eric Gordon,0.3761026017172196,47,75,0.0,0.0,0.6266666666666667,0.0,0.6015387568862924,0.33521905167210275
12,Fred VanVleet,0.36527577115464926,13,25,0.0,2.0,0.52,0.0,0.5874323552825835,0.3270089181810599
13,Jalen Brunson,0.40408928630519514,0,0,0.0,0.0,0.0,0.0,0.6371812621713152,0.3568995658159839
14,James Harden,0.3824051000781391,24,50,0.0,0.0,0.48,0.0,0.6096749742847805,0.3400450380945494
15,Jaylen Brown,0.35752098039215685,13,25,1.0,2.0,0.52,0.5,0.5772381030225433,0.321192451825574
16,Jayson Tatum,0.3599883003904313,46,75,2.0,6.0,0.6133333333333333,0.3333333333333333,0.5804891581511267,0.3230371586378161
17,Joe Harris,0.40176048899821265,49,75,1.0,2.0,0.6533333333333333,0.5,0.6342663143480265,0.35507148719910847
18,Julius Randle,0.3270773029144562,10,25,0.0,2.0,0.4,0.0,0.536657957526466,0.2989009674418373
19,Karl-Anthony Towns,0.40053374068546627,35,50,1.0,4.0,0.7,0.25,0.6327268172619595,0.3541101985010605
20,Kevin Huerter,0.37534305900109216,5,25,0.0,2.0,0.2,0.0,0.6005543289270269,0.3346397442798291
21,Kevin Love,0.3531603300144532,14,25,0.0,0.0,0.56,0.0,0.5714760815944928,0.31794581863858573
22,Khris Middleton,0.3621956886119039,18,50,0.0,0.0,0.36,0.0,0.5833918142482939,0.3246922087687927
23,Klay Thompson,0.39414723407375424,81,125,0.0,0.0,0.648,0.0,0.6246689252578849,0.3491248490649061
24,Kyle Lowry,0.3711602931704778,12,25,0.0,0.0,0.48,0.0,0.5951187597138053,0.33145848446226034
25,Lauri Markkanen,0.3908658542328274,15,25,0.0,2.0,0.6,0.0,0.6205014556512156,0.3465760784529565
26,Luke Kennard,0.4549828407252819,35,50,1.0,4.0,0.7,0.25,0.698093185314155,0.39781297371612423
27,Malik Beasley,0.406014838450058,0,0,0.0,0.0,0.0,0.0,0.6395838873490036,0.35841425805797744
28,Mike Conley,0.4136132917634397,37,50,1.0,4.0,0.74,0.25,0.6489959585578813,0.36441879157558377
29,Patty Mills,0.40556403354746456,11,25,2.0,2.0,0.44,1.0,0.639022012704257,0.35805938784169206
30,Seth Curry,0.4032989438081426,13,25,0.0,0.0,0.52,0.0,0.636193110683635,0.3562786858134787
31,Stephen Curry,0.40520028249131573,173,225,3.0,4.0,0.7688888888888888,0.75,0.6385683626628403,0.3577731590733866
32,Trae Young,0.35166155242643865,41,75,2.0,6.0,0.5466666666666666,0.3333333333333333,0.569491079120521,0.3168339880972738
33,Tyler Herro,0.38520126868135257,11,25,1.0,2.0,0.44,0.5,0.6132655340544864,0.34219688961987615
34,Tyrese Haliburton,0.4021657564681448,30,50,2.0,4.0,0.6,0.5,0.6347743006956643,0.3553893153271648
35,Tyrese Maxey,0.3910777020955457,0,0,0.0,0.0,0.0,0.0,0.6207710548578553,0.34674036497819105
36,Wesley Matthews,0.28151367497757673,15,25,0.0,0.0,0.6,0.0,0.4751755945264667,0.2672642061395266
37,Zach LaVine,0.37182920261024943,45,75,0.0,6.0,0.6,0.0,0.5959896238170579,0.3319662091297266
